date,value
2019-11-07,Mauv
2019-12-09,Pink
2019-10-03,Violet
2019-11-07,Crimson
2019-11-20,Teal
2019-10-19,Orange
2020-01-24,Khaki
2020-01-06,Aquamarine
2020-02-02,Yellow
2019-10-16,Khaki
2020-02-16,Crimson
2020-01-22,Goldenrod
2020-02-22,Red
2019-10-31,Aquamarine
2020-01-06,Mauv
2019-12-11,Orange
2019-11-03,Purple
2019-10-21,Pink
2019-11-25,Mauv
2020-01-03,Mauv
2019-10-22,Aquamarine
2020-01-28,Red
2019-12-13,Purple
2019-11-02,Teal
2019-11-16,Crimson
2019-12-31,Khaki
2019-10-18,Red
2019-12-13,Blue
2020-01-20,Purple
2019-11-06,Turquoise
2019-10-23,Orange
2019-10-29,Yellow
2019-10-21,Yellow
2020-01-06,Crimson
2020-01-07,Turquoise
2019-12-15,Indigo
2019-12-06,Purple
2019-11-03,Indigo
2020-01-13,Orange
2020-02-10,Red
2020-01-18,Goldenrod
2020-01-02,Khaki
2019-12-16,Green
2019-10-21,Yellow
2020-01-14,Turquoise
2020-01-15,Fuscia
2020-01-13,Mauv
2019-11-27,Crimson
2020-01-02,Red
2019-11-20,Mauv
2019-10-28,Aquamarine
2019-12-11,Pink
2020-02-10,Teal
2019-10-06,Pink
2019-10-24,Puce
2019-10-07,Mauv
2020-02-21,Crimson
2019-10-05,Orange
2020-02-15,Purple
2019-11-18,Violet
2019-10-23,Teal
2019-12-27,Maroon
2019-11-10,Indigo
2019-11-29,Goldenrod
2019-11-19,Indigo
2020-01-08,Indigo
2020-01-06,Turquoise
2019-11-15,Fuscia
2020-02-18,Violet
2019-10-28,Teal
2020-01-23,Purple
2019-10-29,Yellow
2019-11-17,Green
2020-02-10,Maroon
2020-01-12,Green
2020-01-14,Blue
2020-02-09,Goldenrod
2019-10-27,Mauv
2020-02-08,Pink
2019-11-03,Purple
2019-11-10,Blue
2019-10-31,Pink
2019-12-01,Aquamarine
2020-01-20,Pink
2019-12-06,Puce
