id,value
2019-11-11,Conan O'Brien Can't Stop
2019-07-03,Pelle Svanslös
2019-05-07,Drive Me Crazy
2019-09-01,"Pink Ribbons, Inc."
2019-11-16,"Day the Earth Stood Still, The"
2019-06-20,IMAX: Coral Reef Adventure
2019-05-31,All That... for This?!
2019-11-04,"One, The"
2019-12-07,Nativity!
2019-11-18,Bush's Brain
2019-06-17,Disorderlies
2019-08-22,Air Force One
2019-06-11,My Big Fat Greek Wedding
2019-12-12,Santa Claus Has Blue Eyes (Le père Noël a les yeux bleus)
2019-04-22,"Secret Adventures of Tom Thumb, The"
2019-08-25,Fire with Fire
2019-08-22,Imago mortis
2019-09-17,Predator
2019-09-26,Omar Killed Me (Omar m'a tuer)
2019-12-14,Airport 1975
2019-09-23,You're a Big Boy Now
2019-11-02,Beasts of the Southern Wild
2019-08-07,"Song to Remember, A"
2019-08-09,Singham
2019-07-31,Nashville
2019-10-18,Mistress America
2019-09-20,Crows Zero (Kurôzu zero)
2019-08-07,Behind Enemy Lines II: Axis of Evil
2019-09-06,Toothless
2019-10-12,"Pyramid, The"
2019-11-28,In Vogue: The Editor?s Eye
2019-12-03,My Dog Skip
2019-05-27,All the Fine Young Cannibals
2019-11-13,Ong-Bak 3: The Final Battle (Ong Bak 3)
2019-06-03,Claire Dolan
2019-05-22,"Unloved, The"
2019-12-21,Spend It All
2019-11-24,"Crimson Pirate, The"
2019-07-13,Little Big League
2019-06-19,Ethel
2019-08-30,Highway 
2019-06-25,"Player, The"
2019-11-11,King Corn
2019-05-02,"Day of the Locust, The"
2019-12-13,Still of the Night
2019-05-10,Two if by Sea
2019-12-05,Trainer on the Beach 2
2019-09-23,Within the Woods
2019-04-03,"Cold Light of Day, The"
2019-08-10,"Goonies, The"
2019-11-27,Herbie: Fully Loaded
2019-03-31,Lucky
2019-06-14,Jesus Henry Christ
2019-11-23,Gang Tapes
2019-09-01,"Night to Remember, A"
2019-10-30,The Old Maid
2019-10-21,Antz
2019-11-05,"Last Klezmer: Leopold Kozlowski, His Life and Music, The"
2019-03-11,Trek Nation
2019-08-23,Roger & Me
2019-12-15,"Sleeping Car Murder, The (Compartiment tueurs)"
2019-07-12,Clean
2019-07-14,Satanas
2019-04-27,Babylon 5: In the Beginning
2019-04-16,Bad Education (La mala educación)
2019-12-02,"Designated Mourner, The"
2019-07-21,Harakiri (Seppuku)
2019-10-08,Atlas Shrugged: Part II
2019-10-28,Love! Valour! Compassion!
2019-05-28,"Happiness Is a Warm Blanket, Charlie Brown"
2019-04-04,Apple Jack
2019-04-16,Dark Skies
2019-06-03,Vantage Point
2019-04-14,Jules and Jim (Jules et Jim)
2019-06-10,"Weight of Water, The"
2019-11-22,"Way We Laughed, The (Così Ridevano)"
2019-05-17,Raw Deal: A Question of Consent
2019-10-23,Nosferatu the Vampyre (Nosferatu: Phantom der Nacht)
2019-09-03,This Woman Is Dangerous
2019-09-24,Walter Defends Sarajevo (Valter brani Sarajevo)
2019-03-08,"Man Who Quit Smoking, The (Mannen som slutade röka)"
2019-08-12,Stuck Between Stations
2019-11-21,"Big Bang, The"
2019-03-17,"Thousand Words, A"
2019-07-11,Resident Evil
2019-11-06,"Three Musketeers, The"
2019-08-14,Paradise
2019-07-23,"Puerta de Hierro, el exilio de Perón"
2019-09-09,Gumby: The Movie
2019-12-27,Frankenhooker
2019-04-27,"Canyon, The"
2019-06-15,Shanghai Ghetto
2019-07-19,Our Daily Bread
2019-12-22,Mr. Nobody
2019-08-09,Fight Club
2019-06-07,Superman and the Mole-Men
2019-05-09,Three Stars
2019-11-25,Berserk: The Golden Age Arc - The Egg of the King
2019-12-14,Close My Eyes
2019-03-18,"Bag of Hammers, A"
2019-03-09,Castle in the Desert (Charlie Chan in Castle in the Desert)
2019-07-03,Star Wars: Episode III - Revenge of the Sith
2019-04-27,Angie
2019-11-16,Pin...
2019-12-16,"Pont du Nord, Le"
2019-12-26,Nobody's Fool
2019-12-24,"Brighter Summer Day, A (Gu ling jie shao nian sha ren shi jian)"
2019-08-10,There's Only One Sun
2019-08-02,Sex and Breakfast
2019-04-22,Rhythm of a Crime (Ritam zlocina)
2019-04-22,Tupac: Resurrection
2019-08-01,"Garçu, Le"
2019-11-18,Al Capone
2019-09-09,Carlito's Way
2019-04-21,Cosas que nunca te dije (Things I Never Told You)
2019-07-07,Prefontaine
2019-06-13,Innocence
2019-03-16,Vacancy
2019-09-06,All the Invisible Children
2019-05-04,"13th Warrior, The"
2019-12-16,"Express, The"
